team,year,salary_cap_millions,dead_money_millions,dead_cap_pct,win_pct
CLE,2018,181.95,25.92,14.25,0.469
IND,2018,144.25,12.80,8.88,0.625
SF,2018,199.31,27.40,13.75,0.250
TEN,2018,182.40,13.20,7.24,0.562
PIT,2018,161.69,8.16,5.05,0.594
NYJ,2018,176.80,25.99,14.70,0.250
HOU,2018,172.09,15.49,9.00,0.688
DAL,2018,173.99,32.55,18.71,0.625
BAL,2018,170.53,14.61,8.57,0.625
BUF,2018,179.60,70.34,39.17,0.375
CIN,2018,180.33,9.13,5.06,0.375
MIA,2018,170.26,20.10,11.80,0.438
PHI,2018,171.07,14.91,8.71,0.562
NYG,2018,170.98,43.90,25.67,0.312
JAX,2018,198.53,20.74,10.45,0.312
OAK,2018,178.87,28.99,16.21,0.250
WAS,2018,172.80,14.62,8.46,0.438
ARI,2018,172.92,40.23,23.26,0.188
DET,2018,175.50,24.65,14.04,0.375
DEN,2018,181.62,26.98,14.86,0.375
GB,2018,175.77,14.98,8.52,0.406
CHI,2018,179.46,15.40,8.58,0.750
ATL,2018,173.65,9.17,5.28,0.438
NE,2018,175.83,10.99,6.25,0.688
KC,2018,176.89,22.86,12.92,0.750
LAC,2018,177.29,15.37,8.67,0.750
SEA,2018,175.23,22.74,12.98,0.625
TB,2018,189.90,11.16,5.88,0.312
LAR,2018,179.88,16.83,9.35,0.812
NO,2018,176.02,22.78,12.94,0.812
CAR,2018,184.42,12.59,6.83,0.438
MIN,2018,196.61,7.11,3.62,0.531
Totals,2018,5676.42,672.69,11.85,0.500
Averages,2018,177.39,21.02,11.85,0.500
