player_name,team,position,year,total_contract_value_millions,guaranteed_money_millions,signing_bonus_millions,contract_length_years,years_remaining,cap_hit_millions
Patrick Mahomes,KC,QB,2024,450.0,141.0,0.0,10,8,58.0
Josh Allen,BUF,QB,2024,258.0,150.0,6.0,6,3,65.0
Jalen Hurts,PHI,QB,2024,255.0,179.3,0.0,3,2,76.0
Lamar Jackson,BAL,QB,2024,260.0,105.0,0.0,5,4,66.0
Dak Prescott,DAL,QB,2024,240.0,150.0,0.0,4,3,60.0
Kirk Cousins,ATL,QB,2024,180.0,92.0,20.0,2,1,55.0
Russell Wilson,DEN,QB,2024,85.0,50.0,0.0,1,1,42.0
Kyler Murray,ARI,QB,2024,230.0,120.0,0.0,5,4,46.0
Trevor Lawrence,JAX,QB,2024,275.0,142.0,0.0,5,4,55.0
Caleb Williams,CHI,QB,2024,0.0,0.0,0.0,0,4,0.0
Saquon Barkley,PHI,RB,2024,37.7,18.0,0.0,3,2,13.2
Derrick Henry,TEN,RB,2024,12.0,0.0,0.0,2,2,8.5
Josh Jacobs,LV,RB,2024,58.0,28.0,2.5,5,3,13.0
Christian McCaffrey,SF,RB,2024,80.0,38.0,0.0,2,1,16.0
Travis Kelce,KC,TE,2024,14.0,5.0,0.0,2,1,10.0
Tyreek Hill,MIA,WR,2024,120.0,65.0,0.0,3,2,32.0
A.J. Brown,PHI,WR,2024,100.0,57.0,5.0,3,2,25.0
CeeDee Lamb,DAL,WR,2024,136.0,60.0,0.0,4,3,34.0
Justin Jefferson,MIN,WR,2024,110.0,68.0,0.0,4,3,29.0
DeVonta Smith,PHI,WR,2024,80.0,49.0,0.0,4,3,22.0
Stefon Diggs,LAR,WR,2024,112.0,58.0,0.0,2,1,40.0
Jalen Waddle,MIA,WR,2024,80.0,45.0,0.0,3,2,18.0
Brandon Aiyuk,SF,WR,2024,120.0,65.0,0.0,3,2,24.0
Micah Parsons,DAL,DE,2024,110.0,55.0,0.0,3,2,25.0
TJ. Watt,PIT,DE,2024,80.0,36.0,0.0,2,1,20.0
Aaron Donald,LAR,DT,2024,95.0,35.0,0.0,3,1,20.0
Patrick Surtain II,DEN,CB,2024,96.0,50.0,0.0,3,2,20.0
Jalen Ramsey,LAR,CB,2024,105.0,50.0,0.0,3,2,22.0
Minkah Fitzpatrick,PIT,S,2024,73.6,36.8,0.0,4,2,18.0
Rashawn Slater,LAC,OT,2024,98.0,43.5,0.0,3,2,18.0
Andrew Thomas,NYG,OT,2024,82.0,40.0,0.0,3,2,16.0
Lane Johnson,PHI,OT,2024,72.0,30.0,0.0,3,2,14.0
Trent Williams,SF,OT,2024,55.0,27.0,0.0,2,1,16.0
George Kittle,SF,TE,2024,75.0,35.0,0.0,3,2,15.0
Mark Andrews,BAL,TE,2024,56.0,30.0,0.0,3,2,15.0
Kyle Pitts,ATL,TE,2024,30.3,15.2,0.0,4,3,8.0
Tee Higgins,CIN,WR,2024,21.8,17.0,0.0,2,1,11.0
Keenan Allen,LAC,WR,2024,22.2,11.0,0.0,4,2,5.5
Stefon Diggs,BUF,WR,2024,32.0,16.0,0.0,2,1,16.0
Kirk Cousins,MIN,QB,2024,45.0,22.0,0.0,1,0,45.0
Ndamukong Suh,NE,DT,2024,18.0,9.0,5.0,2,1,12.0
